given_name,family_name,date_of_birth,place_of_birth
Louisa,Finch,1870-05-17,Lerwick
Ruth,Jones,1879-09-01,Wishaw
Hannah,Whipp,1843-12-24,Aberdeen
Adesubomi,Fowokan,1966-06-11,Lockerbie
Vincent,Hughes,1922-01-29,Motherwell
Amelia,Mills,1927-01-12,Dalry
Dennis,Bicknell,1963-06-16,Wick
Thomas,Steel,1888-11-30,Keith
Hilary,Abbott,1974-05-29,Aberdeen
Mary,Thompson,1907-12-03,Kilmarnock
Andrew,Mawdsley,1966-03-13,Kirkintilloch
Sydney,Walters,1908-12-09,Crieff
Mildred,Wallis,1901-02-01,Campbeltown
Clifford,Brain,1948-06-30,Haddington
Maria,Williams,1904-12-07,Enniskillen
Kenneth,Fielding,1944-11-24,Linlithgow
Winifred,Phythian,1898-09-23,Dundee
George,Savage,1913-09-03,Dingwall
Maud,Oswin,1882-05-22,Brechin
Kathleen,Mann,1907-12-04,Perth
Shelley,Davies,1964-02-02,Bathgate
William,Jones,1903-12-10,Helensburgh
Tom,Atkins,1841-02-12,Aberdeen
Robert,Waterman,1870-06-20,West Calder
Eliza,Underhill,1846-12-17,Hamilton
Evan,Fryer,1923-09-04,Kirkcaldy
Charles,Barrett,1898-08-15,Oban
Margery,Fletcher,1932-05-26,Dalbeattie
Maxine,Fox,1961-03-22,Keith
Ada,Ashdown,1906-06-08,Musselburgh
Martha,Christmas,1837-11-07,Tillicoultry
William,Harvey,1868-03-02,Lanark
Daisy,Hembury,1903-11-30,Dufftown
Elizabeth,Dyer,1897-11-13,Thurso
Roger,Clark,1944-02-27,Anstruther
Fred,Woodward,1879-07-28,Bangor
Louisa,Paine,1868-02-14,Carluke
Rose,Willis,1896-05-03,Kinross
Alice,Ideson,1904-09-06,Lurgan
Joanne,Sellens,1967-03-04,Paisley
John,Ryder,1867-10-14,Kirkcaldy
Philip,Heath,1966-12-08,Barrhead
Eric,Dance,1944-03-18,Falkirk
Melinda,Parrott,1905-04-30,Lisburn
Jane,Aldhous,1839-08-03,Dundee
Joyce,Rowland,1932-09-11,Crieff
William,Woolass,1858-06-14,Jedburgh
Maurice,Westwood,1903-02-22,Linlithgow
George,Dodds,1881-10-03,Fraserburgh
Robert,Sula,1955-09-17,Ayr
Peter,Moss,1934-07-19,Bangor
Sara,Hadlow,1966-07-27,Selkirk
Zeena,Pereira,1966-12-09,Lockerbie
Ruth,Murray,1968-04-20,Motherwell
Florence,Rowe,1878-02-02,Alloa
Robert,Pickrell,1843-06-12,Nairn
May,Moorhouse,1909-03-28,Selkirk
Leonard,Kahler,1942-01-06,Golspie
Henry,Dedman,1931-01-11,Dumfries
Joanne,Pinson,1968-12-01,Ballymoney
Robert,Grant,1939-09-17,West Calder
Fanny,Button,1847-07-22,Kirkintilloch
Paul,Arnold,1966-09-01,Nairn
Margaret,Carty,1961-05-17,Ballymoney
John,Pateman,1894-02-06,Stirling
James,Nightingale,1913-11-08,Huntly
Ernest,Scott,1931-09-16,Invergordon
Joseph,Lloyd,1891-11-10,Barrhead
Thomas,Heather,1904-07-10,Rothesay
Gwendoline,Caville,1907-10-25,Montrose
Annie,Williams,1915-12-06,Dufftown
Mary,Clarke,1840-10-11,Bangor
Pauline,Plumb,1952-06-26,Aberdeen
Robina,Gillett,1945-07-11,Peebles
Donald,Box,1939-01-15,Airdrie
Annie,Lowe,1869-12-07,Kirkcaldy
Wendy,Boyland,1961-12-06,Armagh
Gareth,Bowles,1980-01-24,Stonehaven
Nora,Norton,1890-09-29,Peterhead
Elsie,Such,1903-07-06,Greenock
Glenis,Elsdon,1921-12-01,Kelso
Alice,Walker,1880-07-20,Strabane
Mary,Mayor,1877-10-13,Stirling
Henry,Greenwood,1863-10-21,Coatbridge
Elizabeth,Samuels,1913-03-23,Paisley
David,Mack,1936-04-05,Edinburgh
Karen,Edwards,1962-08-01,Castle Douglas
Evelyn,Berning,1943-05-20,Kelso
Lisa,Talbot,1968-05-10,Fraserburgh
Frederick,Sargent,1888-12-12,Huntly
Percy,Russell,1870-08-01,Linlithgow
John,Ellis,1896-10-11,Bellshill
Stanley,Harker,1902-11-09,Portsoy
Alice,Corbridge,1865-11-22,Banbridge
Violet,Thacker,1887-01-19,Glasgow
Martha,Dawson,1846-05-19,Haddington
John,Murphy,1906-11-16,Kilsyth
Alfred,Masters,1952-11-03,Lockerbie
John,Wilson,1875-12-20,Lisburn
Julia,Doney,1964-07-07,Castle Douglas
Sofina,Begum,1980-05-23,Newton Stewart
Thomas,Morrow,1971-04-12,Cupar
Derek,Bouillaney,1923-07-18,Newry
Margaret,Dixon,1941-01-26,Brechin
Sarah,Welding,1970-09-10,Cupar
Nigel,Harris,1964-10-06,Stranraer
David,Rigby,1975-10-05,Armagh
John,Teal,1861-10-01,Galashiels
Lydia,Tonge,1881-05-18,Stirling
Christopher,Leeson,1864-03-21,Banff
Clara,Birtwell,1889-01-29,Helensburgh
William,Ratheram,1876-12-27,Campbeltown
Jane,Stephens,1856-09-09,Bellshill
Sarah,Joynes,1882-09-01,Kelso
William,Waddington,1913-01-21,Lerwick
Frederick,Bellinger,1893-06-22,Airdrie
Fanny,Phillips,1854-12-23,Stranraer
Mabel,Kidd,1912-08-25,Dunfermline
Caroline,Percival,1843-08-18,Kirriemuir
Steven,White,1976-05-09,Perth
Aaron,Holding,1852-06-11,Omagh
Una,Lockyer,1935-10-06,Bangor
Rebecca,Mason,1862-05-06,Ballymoney
Patricia,Russell,1936-02-14,Forfar
Emma,Rose,1878-06-10,Huntly
Anthony,Racine,1961-03-04,Barrhead
Margaret,Bicket,1884-03-17,Banbridge
Violet,Caswell,1913-12-27,Dalbeattie
Edith,Redhead,1894-06-30,Hamilton
Matilda,Linsdell,1892-11-14,Fraserburgh
George,Moffat,1873-07-23,Grantown-on-Spey
Alan,Newman,1952-08-26,Selkirk
Laura,Jerome,1970-09-05,Peebles
Adrian,Williams,1959-03-24,Bangor
Latina,Casson,1875-04-30,Dundee
Janette,Hinkins,1951-08-27,Newry
Horace,Lawton,1902-07-06,Kirkcaldy
John,Wilson,1859-05-09,Ardrossan
George,Austin,1885-12-15,Kirkintilloch
Claire,Lambert,1975-05-07,Huntly
Annie,Knutton,1897-07-17,Greenock
John,Stevens,1922-04-29,Elgin
John,Davey,1882-04-24,Ballymoney
Nia,Davies,1980-02-04,Barrhead
Joseph,Walls,1842-02-05,Glasgow
John,Watson,1888-09-05,Buckie
Denise,Utton,1946-06-25,Dalkeith
Michael,Browning,1947-08-26,Barrhead
Graham,Lane,1963-05-25,Newton Stewart
William,Browning,1868-03-20,Cookstown
James,Nicholson,1919-06-01,Aberdeen
Vicki,Gibbons,1975-05-17,Rothesay
Valetta,Hitchens,1902-09-18,Dalkeith
Mary,Rowlands,1897-07-30,Ardrossan
Shirley,Morris,1932-12-29,Montrose
William,Burcham,1840-02-22,Kirkintilloch
Huw,Hadden,1981-06-30,Ballymoney
Elizabeth,Gregory,1852-05-12,Montrose
Emile,Howarth,1899-10-28,Kirriemuir
Jane,Droghan,1910-01-28,Enniskillen
Alfred,Rudge,1870-06-04,Portsoy
Susan,Ellis,1951-11-05,Carrickfergus
Martha,Beech,1858-05-09,Cupar
Edith,Pease,1867-10-15,Hawick
Dorina,Facchini,1931-12-28,Forfar
Anne,Jameson,1958-08-03,Edinburgh
Sarah,Ferrabee,1849-10-06,Musselburgh
Elizabeth,Clithero,1840-06-19,Bridge of Allan
Bertha,Edwards,1886-02-15,Omagh
Martin,Stafford,1908-01-26,Alloa
Lily,Birchall,1902-02-09,Armagh
Mary,Welsh,1868-08-20,Dromore
David,Richardson,1955-11-14,Thurso
Arcangelo,Papa,1896-07-01,Barrhead
John,Bull,1942-09-20,Oban
Hilda,Draper,1899-10-24,Clydebank
Harry,Byram,1900-07-14,Milngavie
George,Kiolehan,1873-11-16,Nairn
Henry,Burford,1883-01-14,Blairgowrie
Patrick,Mcdermott,1957-06-16,Portsoy
Esther,Krackle,1853-03-02,Arbroath
Morten,Joslin,1865-09-13,Oban
Michael,Mercado,1962-04-13,Ardrossan
Eliza,Easton,1859-06-20,Motherwell
David,Carnwell,1960-02-11,Dungannon
Joseph,Sanderson,1913-01-29,Londonderry
Violet,Wright,1906-11-20,Stirling
Rebecca,Patch,1976-01-13,Banbridge
Ryan,Yuill,1974-10-16,Omagh
Samuel,Kent,1841-12-17,Ayr
Dennis,Barnes,1918-07-26,Wick
Roger,West,1964-09-19,Kinross
John,Garfitt,1838-01-23,Bangor
Matthew,Garner,1974-02-20,Newton Stewart
Alice,Flynn,1912-11-21,Perth
Amelia,Betts,1901-04-22,Lanark
John,Richards,1871-07-26,Coleraine
Louise,Garner,1966-04-02,Langholm
Owen,Jones,1887-06-22,Hamilton
Malachi,Nolan,1861-07-13,Omagh
Alice,Crosby,1892-10-11,Invergordon
Hilda,Edge,1919-11-03,Hawick
William,Lippiatt,1902-09-22,Galashiels
Elizabeth,Minors,1950-07-26,Dungannon
Rebecca,Simmonds,1972-05-02,Keith
Lydia,Alexander,1976-07-02,Larne
Edward,Hildreth,1937-06-27,Tillicoultry
Robert,Wilkinson,1860-08-14,Carrickfergus
Mary,Hill,1911-07-27,Fraserburgh
Alan,Yates,1937-09-09,Dingwall
Ann,Davis,1900-10-14,Banbridge
Deborah,Iles,1967-04-15,Kirkwall
Thomas,Allen,1871-08-29,Langholm
Joseph,Pope,1852-04-16,Invergordon
Annie,James,1888-09-08,Elgin
John,North,1943-11-05,Greenock
Ajizur,Ammed,1981-07-11,Cookstown
Garbutt,Morley,1876-02-06,Annan
Alfred,Shelley,1858-10-14,Dumfries
Joseph,Batcheldee,1870-12-08,Greenock
Samuel,Dickinson,1840-06-01,Bathgate
Frederick,Cross,1923-02-19,Barrhead
Yvonne,Burgess,1948-11-23,Aberdeen
Bertha,Earl,1885-10-24,Haddington
Alice,Foote,1884-06-25,Kirkcaldy
Florence,Stroud,1887-10-16,Dalkeith
Sarah,Preece,1842-05-12,Dalbeattie
Percy,Mitchell,1904-08-06,Milngavie
William,Burdon,1865-02-15,Cookstown
David,Rhodes,1959-05-12,Dunfermline
Phillip,Metcalfe,1952-08-24,Carrickfergus
William,Parr,1889-10-05,Campbeltown
Edith,Morton,1932-04-08,Edinburgh
Hazel,Clark,1959-07-01,Banff
Dawn,Rainton,1965-06-06,Kirkwall
George,West,1900-06-20,Edinburgh
James,Ward,1912-01-08,Milngavie
Alice,Farquhar,1878-12-14,Carrickfergus
Alan,Pattison,1950-12-09,Lisburn
Maria,Hymers,1838-11-06,Banff
Thomas,Edwards,1849-12-22,Haddington
James,Hutchinson,1915-11-01,Keith
John,Waterhouse,1849-06-01,Langholm
Mary,Denison,1912-05-14,Annan
Margaret,Rawlings,1900-06-05,Rothesay
Elizabeth,Tench,1971-04-18,Irvine
William,Cole,1838-05-14,Dalry
Rawlinson,Crossland,1875-09-15,Ballymoney
Edwin,Lloyd,1905-10-10,Lurgan
Walter,King,1895-03-23,Leven
Violet,Lardner,1899-11-01,Lockerbie
Kerry,Wilson,1972-03-31,Alloa
Florence,Humphreys,1898-08-24,Rothesay
Sidney,Walledge,1937-01-11,Kirkwall
Albert,Erridge,1900-09-12,Paisley
Margaret,French,1947-05-02,Falkirk
William,Clarke,1841-01-09,Keith
Sarah,Clarke,1901-11-11,Arbroath
William,Parker,1867-09-04,Kirkwall
William,Nicholson,1909-05-11,Leven
Eileen,Grimmer,1921-07-01,Jedburgh
Male,Ebling,1895-02-28,Grantown-on-Spey
Rose,Merry,1862-12-22,Wishaw
Sarah,Haywood,1838-05-31,Dingwall
Elizabeth,Austin,1863-08-29,Dufftown
Hazel,Collen,1935-07-29,Kirkwall
Emma,Farr,1853-05-04,Bathgate
Robin,Dutta,1979-09-10,Motherwell
Stanley,Bennett,1935-05-19,Kirkintilloch
Ellaline,Batsford,1916-10-31,Banff
James,Costigan,1903-08-19,Lockerbie
Linda,Battishill,1961-12-30,Keith
Annie,Mathews,1899-05-14,Lanark
Thomas,Speakman,1865-12-17,Bridge of Allan
Elecia,Baxter,1846-06-03,Peterhead
George,Huntington,1872-02-17,West Calder
Olive,Budden,1925-12-23,Forres
Margaret,Challoner,1930-02-23,Kirkwall
Thomas,Visick,1911-03-08,Nairn
David,Howard,1943-09-03,Cupar
Karl,Moore,1975-04-24,Downpatrick
Alice,Comber,1872-11-29,Oban
Ruth,Raybone,1843-10-29,Stranraer
Peter,Nielsen,1952-09-26,Elgin
Alice,Lomas,1880-06-19,Galashiels
Frank,Mellor,1892-05-01,Coatbridge
William,Dawes,1865-06-04,Nairn
Harold,Monk,1893-12-15,Dungannon
Albert,Hilken,1923-04-10,Lerwick
Annie,Vincent,1894-02-23,Lanark
Hywel,Williams,1968-07-11,Inverness
William,Bass,1937-12-19,Dufftown
William,Smith,1857-02-04,Lisburn
Alice,Barker,1899-12-24,Ballymoney
Lydia,Cook,1887-05-24,Dufftown
David,Martin,1968-02-10,Wick
Florence,Robinson,1916-04-27,Newtownards
Sidney,Andrews,1897-08-02,Wishaw
Frederick,Hotchkiss,1870-03-07,Anstruther
Maxine,Grant,1956-12-13,Crieff
Sarah,Burton,1872-08-17,Hamilton
Katherine,Rodif,1977-04-07,Ayr
Charles,Parkin,1893-02-02,Linlithgow
Agwein,Parkinson,1981-01-13,Greenock
Thomas,Hunter,1908-03-06,Banff
Nona,Dawe,1912-04-05,Kirriemuir
John,Brody,1959-07-02,Blairgowrie
John,Archer,1938-04-28,Wick
Alice,Hateley,1859-09-23,Annan
William,Horler,1880-08-04,Dundee
Peter,Lloyd-jones,1980-01-14,St Andrews
Ann,Flood,1940-11-16,Bangor
Edwin,Ainley,1946-03-21,Blairgowrie
Frank,Stanley,1902-08-04,Clydebank
Ann,Liddiatt,1872-10-09,Grantown-on-Spey
Sarah,Adcock,1868-11-14,Banff
Thomas,Bostock,1843-05-18,Aberdeen
William,Schartan,1910-10-24,Crieff
Valerie,Cooke,1952-03-23,Stornoway
Winifred,Harrison,1911-04-13,Edinburgh
Walter,Allen,1894-05-09,Dungannon
Female,Whitham,1862-08-19,Forres
Doris,Smith,1925-07-24,Bangor
Scott,Mason,1973-05-13,Annan
Jason,Evans,1971-01-17,Tillicoultry
Anne,Robinson,1966-06-02,Grantown-on-Spey
Sidney,Petty,1908-08-10,Cupar
Thomas,Hockley,1892-07-16,Newry
Lisa,Mernor,1976-03-09,Kirkcaldy
Sheila,Rose,1947-12-02,Wick
Jean,Bell,1933-09-20,Dumfries
Alice,Campbell,1854-06-04,Kilmarnock
Charlotte,Gray,1979-03-04,Campbeltown
Mark,Hepworth,1982-10-24,Banbridge
Henrietta,Readwin,1872-11-20,Peterhead
Betty,Rogers,1928-07-30,Buckie
Denise,Lewis,1969-02-17,Langholm
Percy,Shaw,1907-03-16,Golspie
Herbert,Bowring,1882-11-06,Carrickfergus
John,Joseph,1945-12-17,Kirkwall
Stephanie,Crowe,1958-03-08,Annan
Null,Munawar,1968-02-21,Elgin
Eric,Clarkson,1949-05-06,Belfast
Harry,Gibbs,1858-10-27,Peterhead
Thomas,Napper,1904-01-28,Larne
Female,Livesey,1864-12-27,Oban
Ena,Heasman,1906-08-03,Buckie
Tom,Lester,1928-09-03,Coleraine
Noel,Hilton,1920-11-11,Edinburgh
Richard,Moscrop,1888-12-24,Invergordon
Robert,Welch,1867-05-17,Huntly
Michael,Hill,1981-01-03,Kilmarnock
Matthew,Sheehan,1962-10-09,Coatbridge
Edith,Bradbury,1901-03-30,Hamilton
Edwin,Hamblin,1860-01-13,Nairn
John,Williams,1872-08-09,Carluke
Nicholas,Jordan,1963-12-28,Stonehaven
Alfred,Wilson,1866-02-26,Elgin
Frederick,Long,1855-06-08,Armagh
Harry,Rockliffe,1920-05-08,Lurgan
Ida,Grubb,1897-06-15,Grantown-on-Spey
Joyce,Link,1924-06-23,Lockerbie
Abraham,Metnick,1858-06-02,West Calder
Keith,Goldsmith,1927-11-20,Grantown-on-Spey
Mary,Coston,1941-02-18,Musselburgh
Leigh,Harrison,1977-04-03,Dalry
Lily,Beagles,1909-10-23,Carluke
John,Simisyer,1892-03-12,Carluke
May,Bennett,1896-07-02,Buckie
John,Wood,1922-07-09,Dufftown
Harold,Wright,1900-09-27,Inverness
Clara,Briggs,1869-07-20,Dundee
Mary,Knowles,1872-05-07,Perth
Clive,Horton-stephens,1943-11-12,Ayr
Robert,Bell,1980-01-31,Glasgow
Shadrach,Woodall,1882-08-30,Dromore
Joyce,Robinson,1929-08-30,Ayr
Susannah,Sykes,1857-08-21,Peebles
Colin,Chilton,1930-04-20,Nairn
James,Marriage,1898-08-23,Thurso
William,Trumble,1897-05-08,Newry
David,Evans,1900-11-27,St Andrews
Edwin,Thomson,1902-04-25,Dalry
Kenneth,Wilkinson,1922-08-23,Port Glasgow
Mary,Spicer,1848-07-25,Keith
Peggy,Child,1929-05-05,Kinross
Frederick,Willett,1884-02-12,Enniskillen
Robert,Fearn,1912-04-07,Carluke
Joe,Hyde,1893-03-06,Lisburn
Lewis,Green,1863-06-08,Kirkwall
Clive,Blunn,1961-02-05,Leven
Jean,Walker,1920-12-14,Carrickfergus
Agnes,Wickenden,1865-04-21,Dunfermline
James,Knox,1864-06-28,Brechin
Simon,Clayton,1952-08-18,Dufftown
Winifred,Heslop,1905-09-12,Aberdeen
Melbourn,Tassell,1885-07-31,Larne
Bertha,Dodd,1910-03-29,Dungannon
Ann,Tureman,1854-12-26,Falkirk
John,Brand,1977-06-24,Tillicoultry
June,Leyman,1931-11-26,Huntly
Anthony,Carrivick,1954-12-31,Perth
Nicola,Taylor,1979-06-02,Kilmarnock
Anna,O'sullivan,1969-05-10,Helensburgh
Jill,Turner,1976-11-03,Wick
Maldwyn,Coates,1898-05-22,Tillicoultry
Winifred,Mitford,1922-02-01,Stranraer
Susan,Martland,1950-03-11,Montrose
Elizabeth,Hassen,1862-01-12,Buckie
Audrey,Rudden,1933-02-28,Newry
Sarah,Cooke,1861-06-01,Barrhead
Edward,Barker,1937-04-04,Ballymoney
Paul,Chesney,1955-10-31,Thurso
Michael,Wynes,1951-01-13,West Calder
Charles,Clark,1870-11-15,Newtownards
Mary,Wild,1843-10-25,St Andrews
Gary,Waters,1966-10-18,Stirling
Elizabeth,Dakin,1837-10-09,Crieff
George,Marston,1850-06-21,Stonehaven
Albert,Ray,1923-08-30,Rothesay
John,Nash,1942-07-28,Lurgan
Rosina,Leppard,1888-12-11,Greenock
George,Todd,1839-09-24,Peterhead
Eunice,Thompson,1901-04-06,Milngavie
Lynn,Fewtrell,1949-09-04,Jedburgh
George,Hughes,1942-09-04,Lerwick
Donald,Hilliard,1945-03-05,Aberdeen
Andrew,Magee,1952-03-15,Airdrie
Ann,Allen,1935-12-26,Lanark
Jean,Smith,1930-05-30,Hamilton
Gladys,Betts,1939-01-11,Dalry
Kathleen,Rutter,1910-10-03,Kirkwall
James,Swarbrick,1916-09-13,Larne
Elizabeth,Devine,1887-09-23,Blairgowrie
Kim,Richardson,1974-08-20,Anstruther
Mary,Taylor,1893-07-29,Forres
Fanny,Clarke,1888-03-28,Dumbarton
Roger,Wilkinson,1937-04-23,Ballymoney
Mary,Oliver,1850-09-12,Bangor
Mary,Lyons,1906-03-11,Alloa
Annie,Kemp,1885-02-28,Campbeltown
Helen,Swindlehurst,1966-04-23,Dalry
Robert,Bell,1949-12-06,Carluke
Tracy,Bowen,1975-02-09,Leven
Emma,Hartnell,1839-09-21,Blairgowrie
Joseph,Stone,1905-01-01,Musselburgh
Frederick,Griffin,1883-06-10,Stornoway
Gweneth,Sutcliffe,1947-07-16,Lerwick
Saran,Preece,1980-02-22,Kirkwall
Henry,Gillot,1874-11-26,Kirkcaldy
Arthur,Jones,1899-01-16,Dumbarton
Francis,Harris,1872-04-01,Londonderry
Anne,Cole,1883-12-22,Kirkintilloch
Mary,Greenslade,1891-12-25,Newtownards
Christopher,Shearn,1957-03-24,Banbridge
Male,Hedley,1933-10-06,Port Glasgow
Christopher,Lodge,1964-10-14,Dumbarton
Anthony,Callaghan,1962-10-07,Downpatrick
Susan,Williams,1975-05-03,West Calder
Annie,Baker,1854-03-09,Perth
Keith,Hattee,1958-07-15,Montrose
Michelle,Knights,1970-10-11,Ballymoney
Frank,Stansfield,1879-04-05,Jedburgh
Neal,Lynch,1960-07-13,Dromore
William,Abbott,1885-09-22,Oban
Adrian,Simm,1950-12-03,Dalry
Frederick,Coe,1883-06-06,Anstruther
Harriet,Dean,1891-04-02,Newtownards
Thomas,Hawkins,1899-03-14,Dumbarton
David,Thompson,1939-05-25,Nairn
Frederick,Sherlock,1924-04-18,Greenock
Mabel,Cobb,1889-02-24,Banff
Bertha,Perry,1878-03-31,Hamilton
Ronald,Staddon,1939-02-22,Dromore
Paul,Clark,1978-08-27,Strabane
Letitia,Eyres,1872-01-08,Tillicoultry
John,Raynes,1881-05-28,Portsoy
Kenneth,Hawley,1955-04-30,Blairgowrie
Keith,Wood,1967-06-19,Kirkintilloch
Charlotte,Sheppard,1865-05-16,Ballymena
James,Mosley,1944-12-23,Newton Stewart
Stephen,Roberts,1976-08-25,Alloa
Edith,Gillian,1891-07-02,Dalbeattie
Emma,Inman,1978-10-02,Linlithgow
May,Wells,1911-03-14,Grantown-on-Spey
Allan,Harvey,1942-11-27,Dumfries
Phillip,Smith,1971-06-03,Falkirk
Nicholas,Green,1970-06-12,Lerwick
Mark,Stanley,1971-07-19,Londonderry
Stephen,Manthorpe,1966-10-11,Cookstown
Brian,Page,1954-07-27,Forres
Pedrum,Bahrami,1982-11-16,Irvine
Nelle,Farley,1907-12-29,Paisley
Anthony,Rising,1937-05-04,Dingwall
Hugh,Davies,1956-09-02,Portadown
Jamila,Begum,1971-11-29,Stonehaven
Sandra,Proctor,1949-11-16,Wishaw
Edwin,Couzens,1851-04-30,Kirkintilloch
Judith,Rogers,1943-07-15,Buckie
Thomas,Rowland,1869-06-04,Lurgan
Basil,Almey,1914-02-23,Dungannon
Yvette,Ward,1965-08-19,Banbridge
George,Gregory,1870-08-01,Keith
George,Clark,1852-11-08,Tillicoultry
Ann,O'keefe,1962-11-02,Jedburgh
Harry,Buss,1928-05-28,Kinross
George,Vale,1840-05-30,Dingwall
Arthur,Harris,1853-09-04,Carluke
Clara,Tift,1862-01-12,Forres
Ada,Outram,1901-09-16,Tillicoultry
Alice,Phillips,1881-03-24,Wishaw
Gertrude,Haines,1885-04-27,Dumfries
Mary,White,1915-12-28,Banbridge
Louisa,Herring,1889-09-29,Lanark
Samuel,Kershaw,1854-11-27,Jedburgh
Robert,Atkinson,1864-03-19,Huntly
Lucy,Parton,1864-11-08,Ardrossan
Samantha,Rusted,1975-06-02,Huntly
Robert,Colman,1872-08-02,Kirriemuir
Jill,Williams,1942-02-10,Linlithgow
Robert,Beer,1940-01-12,Castle Douglas
Charles,Monksfield,1896-11-08,Lerwick
Patrick,Schwab,1940-02-24,Milngavie
Ellen,Owen,1906-04-23,Milngavie
George,White,1899-10-22,Portadown
Fatemen,Hashim-zada,1981-03-06,Ballymena
Alfred,Wren,1915-02-04,Belfast
Maureen,Buckley,1943-10-24,Aberdeen
James,Bowers,1942-06-18,Arbroath
Eleanor,Leech,1973-04-08,Ayr
Arthur,Woodbridge,1896-06-24,Kirkcaldy
Sara,Wilson,1953-11-25,Castle Douglas
Herbert,Gardner,1907-03-28,Montrose
George,White,1843-03-12,Leven
Joseph,Wood,1884-11-16,Newton Stewart
Matthew,King,1982-11-08,Newry
Gary,Smith,1956-04-03,Peterhead
Stephen,Buzzel,1976-11-11,Bellshill
Deborah,Morgan,1966-05-15,Alloa
Sally,Kirk,1972-02-08,Forfar
Faith,Gilchrist,1939-10-16,Airdrie
Roger,Lawrence,1951-01-11,Tillicoultry
Arthur,Dilly,1917-10-13,Newtownards
Mary,Worsley,1854-04-10,Dalry
George,Rutherford,1897-05-04,Perth
Harry,Hodgkinson,1924-12-26,Annan
Oliver,Barnett,1922-11-22,Dingwall
Mary,Gibbs,1865-12-23,Bellshill
Andrew,Walsh,1898-03-20,Paisley
Pauline,Pearlman,1933-04-05,Blairgowrie
Bessie,Gadd,1920-05-10,Carluke
Edward,Hoyle,1884-07-02,Portsoy
Mary,Williams,1881-05-11,Stornoway
Alfred,Mabbott,1854-11-24,Brechin
Frederick,Matthews,1896-06-20,Crieff
Ann,Howarth,1837-06-08,Rothesay
Simon,Piggott,1973-09-16,Newton Stewart
Susan,Walters,1959-06-04,Falkirk
Eugenia,Smith,1943-03-18,Cupar
Donna,Washington,1983-03-12,Kirkwall
Ethel,Clapp,1899-02-25,Wishaw
Hilda,Wheeler,1885-10-17,Newry
Karen,Baker,1970-12-27,Carrickfergus
Elizabeth,Francis,1879-11-05,Kinross
Kevin,Beazer,1965-12-15,Langholm
Rosina,Buffrey,1940-06-29,Irvine
Michael,Jackson,1962-03-25,Carrickfergus
Helen,Haywood,1877-04-03,Nairn
James,Naylor,1876-11-26,Greenock
Kathleen,Syson,1939-02-22,Huntly
Janine,Lamont,1976-11-09,Alloa
Richard,James,1840-01-08,St Andrews
Kevin,Jones,1967-01-14,Ardrossan
Nichola,Waite,1971-03-08,Lerwick
John,Leeson,1905-09-02,Rothesay
Alfred,Harper,1873-01-24,Strabane
Richard,Humphrey,1967-03-16,Stirling
Margaret,Melhuish,1896-07-12,Rothesay
Albert,Collier,1915-06-25,Lockerbie
Clara,Clark,1883-08-06,Oban
Frank,Howard,1899-07-22,Omagh
Frederick,Howett,1861-10-30,Ardrossan
Elizabeth,Branigan,1935-10-07,Irvine
Wendy,Pierce,1945-10-18,Irvine
William,Bown,1893-10-11,Kelso
Nicola,Jones,1980-10-24,Kinross
Michael,Kohler,1977-06-05,Dunfermline
Ada,Walters,1887-09-13,Dumbarton
Minnie,Fisher,1892-02-08,Ayr
Bessie,Inkpen,1859-07-13,Campbeltown
Male,Fowler,1867-07-19,Bathgate
George,Hunt,1842-05-08,Forfar
May,Huttly,1888-09-12,Fraserburgh
Wendy,Spurrier,1959-07-27,Omagh
Mansel,Drake,1933-01-13,Blairgowrie
Andrew,Deeks,1970-07-30,Arbroath
George,Brett,1895-08-09,Elgin
Edward,Wignall,1867-04-25,Hamilton
John,Hammond,1898-04-20,Larne
Graham,Oakley,1970-03-15,Dalkeith
Mary,Glover,1936-12-22,Golspie
David,Clark,1959-08-11,Kelso
Donald,Hadfield,1953-05-16,Dumbarton
Henry,Evers,1841-11-26,Stornoway
Emily,Burrows,1878-11-02,Dumfries
Joseph,Hibbert,1858-12-28,Oban
Rodney,Adams,1945-10-27,Carrickfergus
Hannah,Lawson,1839-01-06,Golspie
Geoffrey,Parfitt,1949-03-30,Larne
Margaret,Tatterton,1905-10-09,Irvine
Harold,Coats,1905-12-30,Carluke
William,Crystal,1892-01-25,Rothesay
Roger,Higby,1951-08-24,St Andrews
Hannah,Buckley,1856-05-29,Dumfries
Adolphus,Sonnenkalb,1839-09-28,West Calder
Mary,Granger,1877-05-14,Dingwall
Lesley,Shepherd,1952-06-17,Oban
Edwin,Carter,1870-11-28,Haddington
Alan,Hill,1919-01-22,Glasgow
Mary,Butler,1858-08-09,Invergordon
Adrian,Tanner,1951-05-06,Stranraer
Catriona,Orchard,1974-07-04,Airdrie
Cyril,Nelmes,1933-11-13,Stornoway
Pamela,Dixon,1943-02-14,Ballymena
Nancy,Marsden,1919-05-27,Dufftown
Anthony,Parker,1968-12-21,Dromore
Kay,Holgate,1971-09-11,Helensburgh
Louisa,Harris,1921-01-07,Dalry
Alice,Goater,1857-05-04,Lanark
Emily,Cowell,1869-08-20,St Andrews
Thomas,Bulford,1956-09-12,Helensburgh
Jane,Verrall,1974-01-17,Kelso
Evelyn,Thornett,1913-04-20,Arbroath
Gladys,Saunders,1902-12-23,Linlithgow
Mary,Foster,1908-02-06,Kinross
